Ref,Val,Package,PosX,PosY,Rot,Side
"","","",88.000000,-114.750000,0.000000,top
"C1","100nF","C_0603_1608Metric",98.000000,-129.500000,90.000000,top
"C2","10uF","C_0603_1608Metric",93.345000,-129.500000,-90.000000,top
"C3","100nF","C_0603_1608Metric",95.680000,-129.500000,-90.000000,top
"C4","100nF","C_0603_1608Metric",105.660000,-127.635000,0.000000,top
"C5","100nF","C_0603_1608Metric",101.883264,-126.477324,-90.000000,top
"C6","100nF","C_0603_1608Metric",113.750000,-117.000000,180.000000,top
"C7","100nF","C_0603_1608Metric",106.000000,-120.750000,90.000000,top
"C8","100nF","C_0603_1608Metric",119.369734,-130.631778,180.000000,top
"C9","100nF","C_0603_1608Metric",112.549617,-119.713824,-90.000000,top
"C10","100nF","C_0603_1608Metric",108.220655,-128.186716,90.000000,top
"C12","100nF","C_0603_1608Metric",121.816744,-129.000548,180.000000,top
"C13","100nF","C_0603_1608Metric",121.768092,-119.676165,-90.000000,top
"C14","100nF","C_0603_1608Metric",111.144607,-127.000000,90.000000,top
"C15","100nF","C_0603_1608Metric",115.865867,-134.650000,0.000000,top
"J1","USB_C_Receptacle_PowerOnly_6P","USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal",88.265000,-124.460000,-90.000000,top
"J2","Conn_01x05_Pin","PinHeader_1x04_P1.00mm_Vertical",124.714000,-125.920000,180.000000,top
"J4","Conn_01x08_Pin","PinHeader_1x08_P1.00mm_Vertical",112.340000,-132.650000,90.000000,top
"R1","5.1k","R_0402_1005Metric",93.061963,-125.352027,-90.000000,top
"R2","5.1k","R_0402_1005Metric",92.935342,-123.460152,90.000000,top
"R3","10k","R_0402_1005Metric",115.062000,-118.110000,0.000000,top
"R4","2.2k","R_0402_1005Metric",120.250000,-118.000000,90.000000,top
"R5","2.2k","R_0402_1005Metric",114.750000,-115.250000,90.000000,top
"R6","100k","R_0402_1005Metric",109.549999,-127.659998,90.000000,top
"R7","10k","R_0402_1005Metric",118.364000,-118.618000,180.000000,top
"R8","10k","R_0402_1005Metric",111.760000,-130.048000,0.000000,top
"R9","10k","R_0402_1005Metric",122.889625,-122.119686,90.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_CK_KMR2",102.235000,-130.175000,0.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",97.155000,-123.190000,90.000000,top
"U2","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",117.122500,-124.460000,0.000000,top
"U3","SHT31-DIS","Texas_S-PWSON-N6-HDC2080",117.330324,-115.682000,180.000000,top
"Y1","ECS-2520MV-xxx-xx","Oscillator_SMD_EuroQuartz_XO53-4Pin_5.0x3.2mm",105.660000,-124.460000,0.000000,top
