"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C5,C6,C7,C8","5","100nF","","","","Capacitor_SMD:C_0603_1608Metric","~"
"C2","1","10uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3","1","100nF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C4","1","22uF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"J1","1","USB_C_Receptacle_PowerOnly_6P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"R1,R2","2","5.1k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R3","1","10k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R4,R5","2","2.2k","","","","Resistor_SMD:R_0402_1005Metric","~"
"U1","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U2","1","STM32F103C8Tx","","","","Package_QFP:LQFP-48_7x7mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f103c8.pdf"
"U3","1","SHT31-DIS","","","","Sensor_Humidity:Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm","https://www.sensirion.com/fileadmin/user_upload/customers/sensirion/Dokumente/2_Humidity_Sensors/Datasheets/Sensirion_Humidity_Sensors_SHT3x_Datasheet_digital.pdf"
"Y1","1","ECS-2520MV-xxx-xx","","","","Oscillator:Oscillator_SMD_ECS_2520MV-xxx-xx-4Pin_2.5x2.0mm","https://www.ecsxtal.com/store/pdf/ECS-2520MV.pdf"
