Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
"C1, C10, C12, C13, C14, C3, C4, C5, C6, C7, C8, C9",0603,12,100nF,
C2,0603,1,10uF,
J1,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
J2,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J3,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J4,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
"R1, R2",0402,2,5.1k,
"R3, R7, R8, R9",0402,4,10k,
"R4, R5",0402,2,2.2k,
R6,0402,1,100k,
SW1,SW_Push_1P1T_NO_CK_KMR2,1,SW_Push,
"TP1, TP2, TP3, TP4",TestPoint_Pad_1.0x1.0mm,4,TestPoint,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
U3,Texas_S-PWSON-N6-HDC2080,1,SHT31-DIS,
Y1,Oscillator_SMD_EuroQuartz_XO53-4Pin_5.0x3.2mm,1,ECS-2520MV-xxx-xx,
