Designator,Mid X,Mid Y,Rotation,Layer
,88.0,-115.0,0.0,top
C1,98.0,-129.5,90.0,top
C10,108.220655,-128.186716,90.0,top
C12,122.82,-129.58,270.0,top
C13,121.8,-118.195,270.0,top
C14,110.48,-123.86,270.0,top
C2,93.345,-129.5,270.0,top
C3,95.68,-129.5,270.0,top
C4,105.66,-127.635,0.0,top
C5,101.883264,-126.477324,270.0,top
C6,113.63,-116.76,180.0,top
C7,106.0,-120.75,90.0,top
C8,114.29,-130.55,180.0,top
C9,112.549617,-119.713824,270.0,top
J1,88.265,-124.46,270.0,top
J2,125.39,-124.0,180.0,top
J3,108.775,-116.87,90.0,top
J4,116.13,-133.17,90.0,top
R1,93.061963,-125.352027,270.0,top
R2,92.935342,-123.460152,90.0,top
R3,115.062,-118.11,0.0,top
R4,120.25,-118.0,90.0,top
R5,114.31,-114.98,135.0,top
R6,109.549999,-127.659998,90.0,top
R7,118.364,-118.618,180.0,top
R8,118.549999,-130.23,180.0,top
R9,122.889625,-122.119686,90.0,top
SW1,102.235,-130.175,0.0,top
U1,97.155,-123.19,270.0,top
U2,117.1225,-124.46,270.0,top
U3,117.330324,-115.682,180.0,top
Y1,105.66,-124.46,0.0,top
